trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
18,0.07218045581315737,0.8321732702061251,0.001148203579947467,0.015508370755355445,14,2,3.240951129830548,0.7036606849867609
19,0.049250054230912846,0.8039208380556163,0.0032226202279638607,0.018553176374578158,20,3,4.978495775688603,0.8252183456789923
20,0.1323434256014932,0.8718129580418701,0.03569984651192313,0.011392863463572097,14,3,1.7618637924957323,0.7039734285006046
21,0.01943057912844346,0.7280110671161998,0.0010746189752508398,0.02952512244236001,12,6,3.000839051221232,0.8025371626981282
22,0.019709766485225978,0.7391861065049196,0.0010567885499389413,0.029229782499674384,14,6,3.430342170720303,0.8110450784464232
23,0.03548781244513917,0.7347655145390979,0.002290756882113871,0.02117364724902924,12,8,2.77704639178841,0.7868306091145083
24,0.02758688196650236,0.7860683291682291,0.0028554137289840847,0.024235948706771458,8,2,0.8377375277476801,0.713310194588483
25,0.05251855515039391,0.6637772917250055,0.0010313667057185514,0.017878858598941786,21,4,1.9251746346521996,0.8592857957941265
26,0.11299308681809023,0.7325705351163129,0.0018868272184797879,0.012540482210010933,9,7,1.3981030152383982,0.682853495660149
27,0.04531850107155994,0.8555151590578037,0.0038674599271535997,0.018647604315450282,15,3,2.963130761666667,0.9921266657706782
28,0.028381793537466646,0.7805103669073306,0.0016359115468056187,0.02400832985354106,19,6,4.343990069346918,0.742980950147607
29,0.19629743611240705,0.683888307162326,0.022150510397924768,0.009151789844196486,13,2,0.9289841843198084,0.7694734401203854
30,0.021041037428925446,0.923409719715022,0.06647489759102204,0.029862639668518477,10,1,3.4519136975293394,0.797234136568717
31,0.02356486129647768,0.7303284216549577,0.0010642769799260243,0.026097007703084967,16,6,3.4671452984434086,0.8072710884467167
32,0.02046692271880928,0.7499658389426637,0.0010851305068838282,0.029696715312504104,13,8,4.969444340235289,0.837278473032082
33,0.03826084100251545,0.7177866542863214,0.002723615148128596,0.020229056318769485,22,5,2.5332672968017986,0.7521428433497305
34,0.025731911300541286,0.8070344845037999,0.001455076110928632,0.024570774596668024,15,6,3.832649713761889,0.8782280328828309
35,0.05881051854098814,0.7863794257422986,0.005839407207330415,0.016347263792919592,25,9,0.513313153376578,0.6779077964573834
36,0.033026176608263125,0.8369340993169672,1.976138371239202,0.02560508674402148,13,7,3.218954428097825,0.7286832181234955
37,0.37419914081013106,0.752505044002111,0.0027301828462407405,0.005644395875687078,17,4,4.228997087473832,0.8178876775733243
38,0.03571300661633497,0.6826033265093311,0.001565109795596084,0.02143513743458442,16,5,2.163406216328494,0.7610581614504313
39,0.2958592577727822,0.9007563851988628,0.003877186334710487,0.006960832523962959,23,1,3.950499187462261,0.6362484987324594
40,0.11613317465684693,0.6632675481960302,0.1646285509505792,0.012645970553313561,9,7,1.138469268504977,0.6849020882374686
41,0.020864786100363415,0.7536796729215811,0.0010402475874201186,0.02944050835988297,12,10,4.9849399388957245,0.8444538510172834
42,0.02015821467124584,0.7399917143633158,0.0014671111863026921,0.029957611097266985,13,8,4.657568519394816,0.8362923405378234
43,0.023986090768375604,0.7154975326736338,0.0022338700201291863,0.025693363285593355,18,9,3.633857618688872,0.8930163877339802
44,0.030610428412668,0.765200936109804,0.0017385653745426632,0.022744527727084195,14,8,3.1775933177798463,0.784386815247113
45,0.6136260286950561,0.825190150768735,0.0014981480857397254,0.0028973721983428305,15,6,4.4425602055157745,0.8688259656005736
46,0.06689618022928129,0.7391179737355555,0.007510090371454628,0.017184701943828016,7,9,2.6664521199570546,0.7291899639871516
47,0.021042734240901778,0.9760842359474357,0.0022513461119979764,0.02676936422715609,12,7,2.1333659786918475,0.9237450125931546
48,0.0423925943432159,0.7944910540467268,0.0014860420973018013,0.0199129478581156,10,4,3.8996763353582127,0.8114649006934269
49,0.02081367896333733,0.7225564541664361,0.003362202419578036,0.02758083342104544,17,5,2.926128583259394,0.8260511069891637
50,0.030412420934222313,0.7038829245191544,0.012208509243644848,0.022827316081552772,11,3,3.264690967726903,0.7708813071449425
