trial_number,value,colsample_bytree,learning_rate,max_depth,min_child_samples,reg_alpha,reg_lambda,subsample
19,0.15809559202414863,0.6061229055269572,0.0028995645187913674,15,59,0.019172687415126056,0.9255272654325447,0.6376244780818477
20,0.15567938942774542,0.7520158473002833,0.012131002739694629,21,74,0.0037566158137316732,0.5917783599602348,0.8654921226003062
21,0.1557073737771396,0.7955799976727576,0.011561697613604796,21,77,0.0036265432926121926,0.5062799976756898,0.8754263767972474
22,0.16006228220932792,0.752661117082139,0.01917140201701497,26,59,0.0012870338810739292,0.631505569630206,0.8677693729148981
23,0.1570781787157031,0.7123341399652098,0.007505274537979644,20,75,0.0032189537295526905,0.7835373073564368,0.7766695051825784
24,0.15732989128601277,0.6669662430265343,0.01132670903354286,24,43,0.005190858457957543,1.1400472124491974,0.784871959590122
25,0.1576285177503343,0.8785814784279945,0.014736278889643045,6,68,0.0018829520415417147,0.6674067707646621,0.8483919686846996
26,0.1526527102029483,0.7508344361586412,0.00484677470779488,15,81,0.9429463523379524,0.5749993034143432,0.7197134167266453
27,0.15263696359150727,0.8141499977550768,0.00493531109762842,11,82,0.6791698591050281,0.7905688932439413,0.7196443634721751
28,0.15265459606691337,0.8179939496247148,0.004880536795542293,11,93,0.73867944099783,1.719343950688975,0.7269927724227181
29,0.15505789643094867,0.9111892887173298,0.005985598467823923,15,81,0.2641085725428768,0.8146329480297744,0.6838612471233432
30,0.15249403924440044,0.805356240470274,0.00291895495068143,6,91,0.17073218766903378,2.3424891991944907,0.7367612121264115
31,0.15951869457505333,0.8141917977099328,0.0032671013314521094,6,91,0.19552589826275615,2.3076900965751306,0.7389284881523905
32,0.15967326315729297,0.7666223505083354,0.004279601268671182,7,98,0.7324894505780095,2.3533976992055714,0.7036198527127698
33,0.15347874666681002,0.8055078577896767,0.0027249719239340123,13,81,0.1075269950810493,1.0668341994200228,0.6585912869594208
34,0.15393519826662563,0.8667056585851779,0.0049548199887224555,11,85,0.28362175609791224,1.452166457758118,0.7016520349737465
35,0.1567621934910742,0.8294235875445449,0.0020513329399628275,14,91,1.0000055307208044,1.8669147305114562,0.7953233733708757
36,0.15807444369292478,0.7322625489459408,0.004155552614416026,10,80,0.1688270437261478,1.4238070672636078,0.7619130458414791
37,0.1521576320700054,0.8462393602188527,0.003158576112840957,4,88,0.10315330893637208,2.773232306129965,0.7429870518667575
38,0.1475476801063763,0.8450795877991149,0.0033048190758533866,4,69,0.030687461196905796,4.846553041850762,0.7449538681737716
39,0.14950494877475926,0.8553716970984926,0.003054226851168257,4,70,0.028943303127969423,2.8002758426027414,0.7482017185809028
40,0.15470250649019726,0.8561505053786934,0.0025160324897918938,5,68,0.036626808465107075,4.407736563473329,0.7626021018027822
41,0.153481532984948,0.896621433646384,0.003057139027867451,4,88,0.08075608059083975,2.978710299092296,0.7423673244463067
42,0.16023222175096613,0.8421021769929308,0.003570432999673862,6,69,0.03300622326088126,4.678072786262358,0.7450241293175833
43,0.15115850724638263,0.9330177924732018,0.002510795291154579,4,62,0.07295678884468992,3.602960400857293,0.7928206652530126
44,0.16492918644475446,0.9863290581415842,0.00234676840566748,4,61,0.06096774135985863,3.8171411776242987,0.7941042154155442
45,0.1606856035207004,0.9216659327356949,0.0026052305834125167,7,53,0.0173160841497535,3.3411726357056217,0.8299789796706056
46,0.150056594226388,0.9451985667725882,0.002093153886757023,4,71,0.10961182000043213,4.237847035435892,0.7700048577410424
47,0.15261693745672072,0.9494964621665168,0.0021688963851172224,4,62,0.11182390660905442,4.126290764347489,0.9116646515438
48,0.16054643681394778,0.9352458601434088,0.002005920977676169,30,49,0.0476555765250162,4.942818777875874,0.7997637597733597
49,0.1684143988318435,0.9658449673095887,0.0033388621517489235,7,57,0.06901530560665883,2.667826279683874,0.7723201619330536
50,0.15488367883323845,0.8909488080082625,0.0023807519900872283,5,66,0.025707546686117633,3.553510222345785,0.698335483371878
51,0.15369086511081095,0.8466883271956296,0.0031103758593696205,8,72,0.08636886454081852,4.22724268924932,0.7637342199549902
52,0.15106269295456543,0.8777596247382332,0.003922507551741474,4,64,0.011534503586258838,3.0118066405391914,0.8057621832747733
53,0.15252537310102407,0.8865198564605724,0.003866269094418731,4,64,0.011088021223024923,2.995374318854917,0.8382462061349787
54,0.15807438313888275,0.8651238082132177,0.0026371996637158824,5,55,0.016719520191325825,3.5531000163636777,0.808314710362186
55,0.16359582156113273,0.9685604438441618,0.002803029193391285,8,77,0.035070701239313606,2.7555838736295715,0.7871265915866871
56,0.16199279141704787,0.9120234094232473,0.0022250019322850294,5,64,0.02347663711536014,3.859152351184422,0.9748184877416387
57,0.16046692964257728,0.9333802130514585,0.0034231393669082494,7,31,0.12696295779015465,3.2196058523456674,0.7534313615868958
58,0.159420962886708,0.9959693913408215,0.003672330030501453,4,71,0.04708166011301222,2.5676704020285377,0.7804008547756613
59,0.16274595744102655,0.9554446675547601,0.004437814603517599,6,50,0.012505398555448164,4.420109019696738,0.7321932395789036
60,0.1568617822559048,0.8759878014342899,0.005446542618527715,9,59,0.008267362311722941,2.075709967059834,0.8468868384090129
61,0.15195891412129828,0.8285264239846342,0.0030509661508648102,4,70,0.05809401488819265,3.254995394098318,0.816204783033511
