trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
31,0.3258046106584057,COMPLETE,7,0.0025119534731406113,0.7389670332854781,0.8266477078097273,0.7338711666855633,0.7912349345016091,6
32,0.3258046106584057,COMPLETE,18,0.005173183450910691,0.8052015428248186,0.6401935752194167,1.0748688227122591,0.7315656025039038,8
33,0.3258046106584057,COMPLETE,11,0.004094196544747234,0.7029437375351548,0.6771936809354243,0.3880738115998807,0.6160995282901941,5
34,0.3258046106584057,COMPLETE,4,0.0031365983834246995,0.7365177356278579,0.851236516997781,1.2669855732031337,1.506104202694575,7
35,0.3258046106584057,COMPLETE,7,0.0020208901270664828,0.6925218510770706,0.6247883973028684,0.023046666820161925,0.6674481177837506,6
36,0.3258046106584057,COMPLETE,9,0.024491824197770264,0.6399402559413809,0.6750921426962833,0.0010236176986973518,1.121568477477932,9
37,0.3258046106584057,COMPLETE,23,0.002541265356611136,0.607822230659848,0.7054112727972709,0.17001412030738078,0.9372737871001073,4
38,0.3258046106584057,COMPLETE,12,0.003655233785101598,0.8231166492770446,0.7736556969721344,0.016152472526380808,1.3614378157196818,1
39,0.3258046106584057,COMPLETE,5,0.0066983166875783625,0.9566880542822659,0.9944307305248297,0.03987132136032959,1.8526690806429134,3
40,0.3258046106584057,COMPLETE,27,0.004783814018624039,0.786383538555363,0.8484317335036422,0.7287057365375259,3.627250697832633,9
41,0.3258046106584057,COMPLETE,19,0.0024034247823410478,0.882644771216168,0.6251360521792448,0.001523225499817727,4.876870221848704,9
42,0.3258046106584057,COMPLETE,14,0.00402520987560957,0.8343490274890605,0.6016348186629341,0.002331847936026716,4.149904576239853,10
43,0.3258046106584057,COMPLETE,25,0.013921799648751376,0.8587213024064126,0.6561045561874578,0.0016107413929815362,2.8161110062701584,6
44,0.3258046106584057,COMPLETE,6,0.0031566103345332572,0.8145200608800305,0.6204321066169177,0.003981202236567725,4.422852862586696,10
45,0.3258046106584057,COMPLETE,25,0.0026662473808144235,0.8976694752604122,0.7433341915499055,0.008552636544926738,3.488276791468766,1
46,0.3258046106584057,COMPLETE,29,0.0034808609348504125,0.9463525128238034,0.8268844756601836,0.0750828203023825,0.8018626392103078,3
47,0.3258046106584057,COMPLETE,8,0.002265744208553959,0.7786724222001176,0.9271691227500881,0.0032105062780452263,0.5955929154050763,8
48,0.3258046106584057,COMPLETE,17,0.008880767711460753,0.7485210324164245,0.7213250741806165,0.00610466807234734,2.821957100808957,5
49,0.3258046106584057,COMPLETE,20,0.025676914328366975,0.8601743228201552,0.7901270030570323,0.4157431657157598,0.5245858456571829,2
50,0.3258046106584057,COMPLETE,14,0.015187627669717612,0.7248637826206954,0.8767478453587108,0.016557547114999186,0.6538088485941433,4
51,0.3258046106584057,COMPLETE,23,0.021040347069392694,0.6410622223390308,0.8612438714731289,0.028636553250042218,0.6904854869050788,5
52,0.3258046106584057,COMPLETE,28,0.006944911022884013,0.6326064400710915,0.892774171261267,1.9476472529793816,0.5642785935825582,7
53,0.3258046106584057,COMPLETE,22,0.004723072448743136,0.6209638215594536,0.8152524830753132,0.13792758192561397,0.8621847867327906,6
54,0.3258046106584057,COMPLETE,24,0.005441523626312617,0.6679494459675247,0.6623968305236282,0.27326152947171034,0.7689262885822172,3
55,0.3258046106584057,COMPLETE,26,0.004190501544057464,0.6881622282738448,0.9395598398188184,0.07128254861467943,1.022878043236604,4
56,0.3258046106584057,COMPLETE,30,0.0027916883135277962,0.8975194961868573,0.639884423534458,0.001502747380947493,2.1571593699806946,2
57,0.3258046106584057,COMPLETE,16,0.0032712479341730576,0.8370341929323168,0.6897142817792405,0.036737921073321,0.6349412723946133,7
58,0.3258046106584057,COMPLETE,12,0.011916502530477827,0.8718668087987219,0.8411244630009498,0.014056814358312918,4.333207966842311,3
